"","code","site","canton"
"1","site1","Calanda","GR"
"2","site2","Nesselboden","GR"
"3","site3","1600m","GR"
"4","site4","Arella","GR"
"5","site5","Stillberg high","GR"
"6","site6","Stillberg low","GR"
"7","site7","Furka","VS"
"8","site8","Leuk","VS"
"9","site9","Oberu","VS"
"10","site10","Fineln","VS"
"11","site11","Zeneggen","VS"
"12","site12","Eschikon","ZH"
"13","site13","CalandaPeak","GR"
"14","site14","Les Pléiades","VD"
"15","site15","Hauteville","VD"
"16","site16","Chamby","VD"
"17","site17","Neusäss","GR"
"18","site18","Les Diablerets","VD"
"19","site19","Bovonne","VD"
"20","site20","LaCorde","VD"
"21","site21","L'Hongrin","VD"
"22","site22","La Forclaz/Le Sépey","VD"
"23","site23","GryonHostel","VD"
"24","site24","LesPosses","VD"
"25","site25","Solalex","VD"
"26","site26","Anzeinde","VD"
"27","site27","Paneirosse","VD"
"28","site28","Bex","VD"
"29","site29","Gryon","VD"
"30","site30","Aigle","VD"
"31","site31","Prabeneu2","VD"
"32","site32","LesMartinaux","VD"
"33","site33","Cretelet","VD"
"34","site34","Rionda2","VD"
"35","site35","UNIL greenhouse","VD"
"36","site36","Zurich-ETH Hoengg","ZH"
"37","site37","Rionda1","VD"
"38","site38","Prabeneu1","VD"
