,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,939,1743,231,129275,19033,2317,4901,44551,18910,28954,27466,2078,4667,75493,2875,-1578,4453,692,575
1982,1028,1842,312,108826,15501,2212,4912,35734,15188,35734,25871,1939,4696,64622,2984,-1146,4130,1842,472
1983,1033,1850,343,107055,16937,3007,4982,37892,15780,21337,22425,1977,4728,63788,3315,-866,4181,1343,389
1984,1027,1854,276,98631,21011,4069,5423,41553,18389,21622,19176,2011,4914,65905,3352,-741,4093,1274,717
1985,879,1764,124,104910,20020,590,6005,42339,10522,38971,22703,2274,4216,85229,2980,-2413,5393,1302,633
1986,894,1791,-36,124989,19308,3351,4358,40094,21449,40094,21449,2196,4605,82660,3090,-1679,4769,1791,-36
1987,1045,1827,393,114353,19089,4217,4040,44058,18998,32104,19874,2080,4489,73978,3021,-1613,4634,1594,882
1988,1061,1828,376,118423,18231,4784,4026,38229,20204,29431,38229,1948,4979,62575,2991,-921,3912,376,1381
1989,1097,1797,587,82402,14722,1398,5642,28283,11417,28283,15443,2060,5710,53509,3017,-590,3607,1797,650
1990,1067,1837,274,119001,23203,2521,5968,40239,19371,40239,34519,2030,4351,69647,3092,-1573,4665,1837,1168
1991,1020,1872,216,92846,14428,2049,4919,31956,13861,24192,23807,2085,4809,71699,2990,-1346,4336,1659,561
1992,1045,1925,381,118492,17234,1221,4645,43039,19288,32256,33965,2016,4853,71156,3034,-1119,4153,643,1137
1993,1057,1855,306,110643,16730,1663,5434,41451,15885,38162,21521,2143,5435,66994,3021,-921,3942,1714,529
1994,1211,2000,635,108384,18394,2105,5050,37441,15310,26012,16410,2036,5404,60613,3136,-631,3767,1936,677
1995,1021,1902,498,126695,21370,1068,5449,48604,15575,29525,28997,2124,4103,69575,3153,-2025,5178,829,760
1996,1020,1814,345,108397,18646,1903,5795,38635,15888,38635,18697,2114,5319,63168,2926,-1048,3974,1814,588
1997,1085,1790,593,99663,16183,2559,5235,42326,15497,39497,15869,2033,5447,61389,2899,-834,3733,1671,767
1998,1047,1824,260,97784,14437,1617,5463,34706,10268,28523,14594,2179,5254,67583,3132,-1016,4148,955,425
1999,1029,1904,51,130702,16912,5557,3778,41301,22810,30897,37689,2031,4274,80554,3002,-1751,4753,1428,492
2000,1131,1874,488,93643,15679,2817,4455,29609,16133,29609,25355,2046,4314,70681,2944,-1798,4742,1874,1056
2001,1117,1826,337,128794,22446,4190,5576,44886,14260,40886,14260,2048,4714,65023,2972,-1373,4345,1248,337
2002,1167,1914,673,117068,16481,2048,4424,40406,18342,37876,34009,1960,4844,54748,3162,-883,4045,1792,868
2003,1184,2231,425,86640,13497,2650,4739,30985,9294,30985,11010,2126,4685,74353,3542,-996,4538,2231,501
2004,1119,1892,457,98024,19260,2003,6908,43543,10403,43543,10403,2059,5257,63740,3029,-887,3916,1892,457
2005,894,1879,-182,95010,16192,2672,4325,34844,15939,34844,19181,2410,4920,93891,3173,-1726,4899,1879,378
2006,1105,1830,479,114066,21193,2213,5655,41150,13743,40533,27883,2160,5223,62257,3114,-1022,4136,931,810
2007,1056,1868,410,123618,23405,1119,6945,59542,13244,59542,23115,2118,5088,63533,3010,-1153,4163,1868,536
2008,1086,1863,304,97470,16916,2379,4847,38939,16254,34761,16254,2066,5332,67783,3025,-850,3875,1734,304
2009,1122,1979,222,92923,13392,2408,4420,32629,14199,30755,25213,2128,4855,77639,3194,-1189,4383,1870,1000
2010,1028,1894,197,87357,13825,1675,5162,32853,12437,32853,18631,2308,5168,79808,3043,-1423,4466,1894,824
2011,11.32875,18.9366666666667,4.90833333333333,913.59,201.26,0.81,74.6869723200444,358.39,80.92,319.77,260.07,22.0875,56.8240288139954,618.279398631984,31.54,-7.33,38.87,17.165,7.51166666666667
2012,10.8404166666667,19.2116666666667,2.12666666666667,1072.99,162.06,13.68,48.197459354686,372.87,143.14,270.54,266.14,22.9758333333333,50.0126977216659,735.487174918568,32.08,-13.86,45.94,13.0033333333333,7.1
2013,10.2175,19.7033333333333,1.99833333333333,1154.12,173.05,53.44,37.5072917427618,375.36,200.02,267.08,258.5,22.425,48.75,771.244699407157,32.56,-13.44,46,17.2983333333333,2.16833333333333
2014,11.4195833333333,17.84,4.83166666666667,1184.42,302.79,35.09,73.5052926570813,504.65,191.66,504.65,195.68,20.7791666666667,47.9888375673595,573.338923180115,29.56,-13.74,43.3,17.84,11.0566666666667
2015,11.4129166666667,20.9933333333333,4.4,922.34,170.72,9.08,49.8059087899576,317.66,117.69,234.16,117.69,21.4391666666667,45.6832871652816,729.245421288127,36.09,-10.84,46.93,11.3366666666667,4.4
8110,1054,1869,332,107869,17789,2479,5116,39394,15629,34022,22801,2093,4888,69453,3074,-1237,4311,1524,661
CHELSA,112,206,24,924,95,65,14,282,198,282,213,80,293,6713,259,-16,275,206,26
worldclim,98,181,11,775,86,51,15,223,164,223,187,95,33,6586,252,-32,284,181,95
